file,total_picks,timestamps_count,lead_median_sec,late_count,<60s,<300s,<3600s,odds_present,opening_present,closing_present,avg_abs_odds_move,median_stake,top5_stakes
/Users/rico/sports-models/best_plays_tracking.json,28,0,,0,0,0,0,28,28,0,,,[]
/Users/rico/sports-models/mlb/mlb_master_model_tracking.json,3,3,,0,0,0,0,3,3,0,,,[]
/Users/rico/sports-models/nba/nba_3pt_props_tracking.json,33,0,,0,0,0,0,33,33,0,,,[]
/Users/rico/sports-models/nba/nba_assists_props_tracking.json,35,0,,0,0,0,0,35,35,0,,,[]
/Users/rico/sports-models/nba/nba_picks_tracking.json,209,0,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/nba/nba_points_props_tracking.json,173,0,,0,0,0,0,173,173,0,,,[]
/Users/rico/sports-models/nba/nba_rebounds_props_tracking.json,68,0,,0,0,0,0,68,68,0,,,[]
/Users/rico/sports-models/nba_app_api/nba_picks_tracking.json,165,0,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/ncaa/cbb_rebounds_props_tracking.json,2,0,,0,0,0,0,2,2,0,,,[]
/Users/rico/sports-models/ncaa/ncaab_picks_tracking.json,1923,0,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/nfl/atd_model_tracking.json,127,0,,0,0,0,0,127,127,0,,,[]
/Users/rico/sports-models/nfl/nfl_passing_yards_props_tracking.json,24,0,,0,0,0,0,24,24,0,,,[]
/Users/rico/sports-models/nfl/nfl_picks_tracking.json,38,0,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/nfl/nfl_receiving_yards_props_tracking.json,26,0,,0,0,0,0,26,26,0,,,[]
/Users/rico/sports-models/nfl/nfl_receptions_props_tracking.json,6,0,,0,0,0,0,6,6,0,,,[]
/Users/rico/sports-models/nfl/nfl_rushing_yards_props_tracking.json,24,0,,0,0,0,0,24,24,0,,,[]
/Users/rico/sports-models/soccer/soccer_picks_tracking.json,140,0,,0,0,0,0,134,134,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/best_plays_tracking.json,28,0,,0,0,0,0,28,0,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/mlb/mlb_master_model_tracking.json,3,3,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_3pt_props_tracking.json,33,0,,0,0,0,0,33,33,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_assists_props_tracking.json,35,0,,0,0,0,0,35,35,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_picks_tracking.json,209,0,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_points_props_tracking.json,173,0,,0,0,0,0,173,173,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_rebounds_props_tracking.json,68,0,,0,0,0,0,68,68,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba_app_api/nba_picks_tracking.json,165,0,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/ncaa/cbb_rebounds_props_tracking.json,2,0,,0,0,0,0,2,0,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/ncaa/ncaab_picks_tracking.json,1923,0,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/atd_model_tracking.json,127,0,,0,0,0,0,127,127,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_passing_yards_props_tracking.json,24,0,,0,0,0,0,24,24,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_picks_tracking.json,38,0,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_receiving_yards_props_tracking.json,26,0,,0,0,0,0,26,26,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_receptions_props_tracking.json,6,0,,0,0,0,0,6,6,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_rushing_yards_props_tracking.json,24,0,,0,0,0,0,24,24,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/soccer/soccer_picks_tracking.json,140,0,,0,0,0,0,134,134,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/wnba/wnba_model_tracking.json,8,8,,0,0,0,0,0,0,0,,,[]
/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/wnba/wnba_props_tracking.json,9,9,,0,0,0,0,8,0,0,,,[]
/Users/rico/sports-models/wnba/wnba_model_tracking.json,8,8,,0,0,0,0,3,3,0,,,[]
/Users/rico/sports-models/wnba/wnba_props_tracking.json,9,9,,0,0,0,0,9,9,0,,,[]
